30653.00,33725.00,21065.00,24492.00,35630.00,25505.00,31706.00,38565.00,42023.00,33695.00
30490.00,29357.00,25592.00,31598.00,28745.00,29201.00,28988.00,33620.00,40226.00,26381.00
31364.00,31528.00,19619.00,27461.00,43232.00,25188.00,33863.00,40184.00,40075.00,36904.00
24012.00,25390.00,22835.00,20762.00,28370.00,22871.00,24922.00,28894.00,33080.00,20639.00
23329.00,22816.00,24337.00,22719.00,22025.00,26578.00,24071.00,29332.00,34581.00,17814.00
19831.00,22673.00,16075.00,19156.00,19976.00,17930.00,20495.00,28371.00,26709.00,18845.00
27202.00,27199.00,17653.00,21797.00,35350.00,22810.00,32099.00,35163.00,34676.00,33344.00
19837.00,17120.00,22691.00,20205.00,19410.00,22676.00,20992.00,26661.00,28006.00,15965.00
22085.00,20862.00,18549.00,18060.00,25897.00,20431.00,19324.00,27047.00,32144.00,20802.00
19267.00,20636.00,14612.00,9772.00,20945.00,13993.00,20334.00,23169.00,25391.00,22697.00
